French,English
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
eux,them
ville,city
chaque,each
devrait,should
longtemps,long time
heures,hours
revoir,meet again
aucune,any
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
endroit,place
écoute,listen
dont,whose
trouve,find
perdu,lost
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
suite,after
pardon,sorry
devant,in front of
demandé,request
chambre,bedroom
droit,law
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
terre,Earth
donne,given
croire,believe
plutôt,rather
aura,will have
filles,girls
bureau,office
